
[TRACE] 06-06-2021 09:42:22.667 AM [http-nio-80-exec-4]  c.m.onlineShop.controller.testController - This is a trace log example
[INFO ] 06-06-2021 09:42:22.668 AM [http-nio-80-exec-4]  c.m.onlineShop.controller.testController - This is an info log example
[DEBUG] 06-06-2021 09:42:22.668 AM [http-nio-80-exec-4]  c.m.onlineShop.controller.testController - This is a debug log example
[ERROR] 06-06-2021 09:42:22.668 AM [http-nio-80-exec-4]  c.m.onlineShop.controller.testController - This is an error log example
[WARN ] 06-06-2021 09:42:22.668 AM [http-nio-80-exec-4]  c.m.onlineShop.controller.testController - This is a warn log example
[INFO ] 07-06-2021 04:46:24.372 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Starting OnlineShopApplication using Java 1.8.0_281 on DESKTOP-DK865NJ with PID 14224 (D:\Desktop\mapsa\mapsaproject\target\classes started by Ali in D:\Desktop\mapsa\mapsaproject)
[DEBUG] 07-06-2021 04:46:24.411 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Running with Spring Boot v2.5.0, Spring v5.3.7
[INFO ] 07-06-2021 04:46:24.412 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - No active profile set, falling back to default profiles: default
[INFO ] 07-06-2021 06:25:51.943 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Starting OnlineShopApplication using Java 1.8.0_281 on DESKTOP-DK865NJ with PID 7448 (D:\Desktop\mapsa\mapsaproject\target\classes started by Ali in D:\Desktop\mapsa\mapsaproject)
[DEBUG] 07-06-2021 06:25:51.986 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Running with Spring Boot v2.5.0, Spring v5.3.7
[INFO ] 07-06-2021 06:25:51.989 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - No active profile set, falling back to default profiles: default
[INFO ] 07-06-2021 06:30:46.766 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Starting OnlineShopApplication using Java 1.8.0_281 on DESKTOP-DK865NJ with PID 5036 (D:\Desktop\mapsa\mapsaproject\target\classes started by Ali in D:\Desktop\mapsa\mapsaproject)
[DEBUG] 07-06-2021 06:30:46.776 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Running with Spring Boot v2.5.0, Spring v5.3.7
[INFO ] 07-06-2021 06:30:46.777 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - No active profile set, falling back to default profiles: default
[INFO ] 07-06-2021 06:31:18.035 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Starting OnlineShopApplication using Java 1.8.0_281 on DESKTOP-DK865NJ with PID 5932 (D:\Desktop\mapsa\mapsaproject\target\classes started by Ali in D:\Desktop\mapsa\mapsaproject)
[DEBUG] 07-06-2021 06:31:18.042 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Running with Spring Boot v2.5.0, Spring v5.3.7
[INFO ] 07-06-2021 06:31:18.043 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - The following profiles are active: dev
[INFO ] 07-06-2021 06:31:43.721 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Starting OnlineShopApplication using Java 1.8.0_281 on DESKTOP-DK865NJ with PID 14568 (D:\Desktop\mapsa\mapsaproject\target\classes started by Ali in D:\Desktop\mapsa\mapsaproject)
[DEBUG] 07-06-2021 06:31:43.726 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Running with Spring Boot v2.5.0, Spring v5.3.7
[INFO ] 07-06-2021 06:31:43.727 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - The following profiles are active: dev
[INFO ] 07-06-2021 06:35:50.450 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Starting OnlineShopApplication using Java 1.8.0_281 on DESKTOP-DK865NJ with PID 14200 (D:\Desktop\mapsa\mapsaproject\target\classes started by Ali in D:\Desktop\mapsa\mapsaproject)
[DEBUG] 07-06-2021 06:35:50.462 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Running with Spring Boot v2.5.0, Spring v5.3.7
[INFO ] 07-06-2021 06:35:50.463 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - The following profiles are active: dev
[INFO ] 07-06-2021 06:36:40.974 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Starting OnlineShopApplication using Java 1.8.0_281 on DESKTOP-DK865NJ with PID 11364 (D:\Desktop\mapsa\mapsaproject\target\classes started by Ali in D:\Desktop\mapsa\mapsaproject)
[DEBUG] 07-06-2021 06:36:40.981 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Running with Spring Boot v2.5.0, Spring v5.3.7
[INFO ] 07-06-2021 06:36:40.982 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - The following profiles are active: dev
[INFO ] 07-06-2021 06:38:22.377 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Starting OnlineShopApplication using Java 1.8.0_281 on DESKTOP-DK865NJ with PID 8928 (D:\Desktop\mapsa\mapsaproject\target\classes started by Ali in D:\Desktop\mapsa\mapsaproject)
[DEBUG] 07-06-2021 06:38:22.385 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Running with Spring Boot v2.5.0, Spring v5.3.7
[INFO ] 07-06-2021 06:38:22.385 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - No active profile set, falling back to default profiles: default
[INFO ] 07-06-2021 06:39:50.285 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Starting OnlineShopApplication using Java 1.8.0_281 on DESKTOP-DK865NJ with PID 14796 (D:\Desktop\mapsa\mapsaproject\target\classes started by Ali in D:\Desktop\mapsa\mapsaproject)
[DEBUG] 07-06-2021 06:39:50.292 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Running with Spring Boot v2.5.0, Spring v5.3.7
[INFO ] 07-06-2021 06:39:50.293 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - The following profiles are active: dev
[INFO ] 07-06-2021 06:42:40.591 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Starting OnlineShopApplication using Java 1.8.0_281 on DESKTOP-DK865NJ with PID 7624 (D:\Desktop\mapsa\mapsaproject\target\classes started by Ali in D:\Desktop\mapsa\mapsaproject)
[DEBUG] 07-06-2021 06:42:40.614 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Running with Spring Boot v2.5.0, Spring v5.3.7
[INFO ] 07-06-2021 06:42:40.615 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - The following profiles are active: dev
[INFO ] 07-06-2021 06:50:15.401 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Starting OnlineShopApplication using Java 1.8.0_281 on DESKTOP-DK865NJ with PID 8368 (D:\Desktop\mapsa\mapsaproject\target\classes started by Ali in D:\Desktop\mapsa\mapsaproject)
[DEBUG] 07-06-2021 06:50:15.408 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Running with Spring Boot v2.5.0, Spring v5.3.7
[INFO ] 07-06-2021 06:50:15.410 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - The following profiles are active: dev
[INFO ] 07-06-2021 07:11:21.230 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Starting OnlineShopApplication using Java 1.8.0_281 on DESKTOP-DK865NJ with PID 6412 (D:\Desktop\mapsa\mapsaproject\target\classes started by Ali in D:\Desktop\mapsa\mapsaproject)
[DEBUG] 07-06-2021 07:11:21.244 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Running with Spring Boot v2.5.0, Spring v5.3.7
[INFO ] 07-06-2021 07:11:21.246 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - The following profiles are active: production
[INFO ] 07-06-2021 07:23:01.236 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Starting OnlineShopApplication using Java 1.8.0_281 on DESKTOP-DK865NJ with PID 14088 (D:\Desktop\mapsa\mapsaproject\target\classes started by Ali in D:\Desktop\mapsa\mapsaproject)
[DEBUG] 07-06-2021 07:23:01.243 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Running with Spring Boot v2.5.0, Spring v5.3.7
[INFO ] 07-06-2021 07:23:01.243 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - The following profiles are active: dev
[INFO ] 07-06-2021 07:24:02.562 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Starting OnlineShopApplication using Java 1.8.0_281 on DESKTOP-DK865NJ with PID 15712 (D:\Desktop\mapsa\mapsaproject\target\classes started by Ali in D:\Desktop\mapsa\mapsaproject)
[DEBUG] 07-06-2021 07:24:02.569 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Running with Spring Boot v2.5.0, Spring v5.3.7
[INFO ] 07-06-2021 07:24:02.571 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - The following profiles are active: dev
[INFO ] 09-06-2021 10:41:09.863 PM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Starting OnlineShopApplication using Java 1.8.0_72 on shivahp with PID 11348 (C:\Users\shiva\Desktop\projectb\mapsaproject\target\classes started by shiva in C:\Users\shiva\Desktop\projectb\mapsaproject)
[INFO ] 09-06-2021 10:41:09.898 PM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - No active profile set, falling back to default profiles: default
[INFO ] 10-06-2021 12:55:41.353 PM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Starting OnlineShopApplication using Java 12.0.2 on DESKTOP-84KJ5PI with PID 11992 (C:\Users\98918\Desktop\test\mapsaproject\target\classes started by 98918 in C:\Users\98918\Desktop\test\mapsaproject)
[INFO ] 10-06-2021 12:55:41.357 PM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - No active profile set, falling back to default profiles: default
[INFO ] 10-06-2021 12:55:50.302 PM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Started OnlineShopApplication in 9.881 seconds (JVM running for 11.813)
[INFO ] 10-06-2021 12:59:25.785 PM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Starting OnlineShopApplication using Java 12.0.2 on DESKTOP-84KJ5PI with PID 11228 (C:\Users\98918\Desktop\test\mapsaproject\target\classes started by 98918 in C:\Users\98918\Desktop\test\mapsaproject)
[INFO ] 10-06-2021 12:59:25.790 PM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - No active profile set, falling back to default profiles: default
[INFO ] 10-06-2021 12:59:34.381 PM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Started OnlineShopApplication in 9.296 seconds (JVM running for 10.658)
[INFO ] 10-06-2021 01:18:27.424 PM [http-nio-8181-exec-2]  c.m.onlineShop.controller.SampleLogerController - saved!
[INFO ] 11-06-2021 01:06:38.453 PM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Starting OnlineShopApplication using Java 12.0.2 on DESKTOP-84KJ5PI with PID 4256 (C:\Users\98918\Desktop\test\mapsaproject\target\classes started by 98918 in C:\Users\98918\Desktop\test\mapsaproject)
[INFO ] 11-06-2021 01:06:38.457 PM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - No active profile set, falling back to default profiles: default
